Specimenid,Species,Mne,Landscape,geometry,mDist_to_road,mDist_to_river,mDist_to_UREMA,mDist_to_gnp_pans,longitude,latitude
PPG2017-B-21,Warthog,1,Midlands Rocky Riparian,34.231373|-18.968221,1615.5670423557,7320.48839588026,25876.2643594239,1437.40858992054,34.231373,-18.968221
PPG2016-B-7,Hippo,1,Midlands Rocky Riparian,34.31118|-18.54834,1249.74055916251,2124.70110201829,38336.7389673817,4604.02591855038,34.31118,-18.54834
PPG2016-B-8,Warthog,1,Midlands Rocky Riparian,34.31118|-18.54834,1249.74055916251,2124.70110201829,38336.7389673817,4604.02591855038,34.31118,-18.54834
PPG2022-B-151,Waterbuck,56,Midlands Rocky Riparian,34.24296|-18.71417,1062.71984328053,748.204748573632,28453.6030426867,2966.49772950811,34.24296,-18.71417
PPG2022-B-153,Waterbuck,62,Midlands Rocky Riparian,34.24133|-18.71861,551.839135314414,1017.24331241466,28308.0224167666,2882.79598380697,34.24133,-18.71861
PPG2022-B-166,Waterbuck,16,Midlands Rocky Riparian,34.2305|-18.71663,260.924430907994,2078.27650506119,29373.6915067311,4025.14734834945,34.2305,-18.71663
PPG2022-B-172,Kudu,8,Midlands Rocky Riparian,34.24485|-18.73355,919.401419922779,1869.94277447442,27079.2983484968,2336.14794706479,34.24485,-18.73355
PPG2017-B-36,Baboon,1,Midlands Rocky Riparian,34.614676|-18.934645,51.4409242493442,2308.84377369578,8372.08632631888,2035.44669988684,34.614676,-18.934645
PPG2017-B-35,Elephant,1,Midlands Rocky Riparian,34.614676|-18.934645,51.4409242493442,2308.84377369578,8372.08632631888,2035.44669988684,34.614676,-18.934645
PPG2016-B-31,Blue wildebeest,1,Rift Valley Alluvial Fan,34.2486159|-18.937393,8.28909741096518,4187.22408842431,23020.0347045843,254.070654539884,34.2486159,-18.937393
PPG2019-B-26,Waterbuck,1,Rift Valley Alluvial Fan,34.2659377|-18.8462171,3254.91413084851,5645.69946675193,20586.7357744029,757.15983284332,34.2659377,-18.8462171
PPG2019-B-27,Reedbuck,1,Rift Valley Alluvial Fan,34.2614087|-18.8484579,3762.15669941683,5419.82678381724,21014.3358943084,235.490422769893,34.2614087,-18.8484579
PPG2019-B-28,Waterbuck,1,Rift Valley Alluvial Fan,34.2657348|-18.8469492,3330.11293869509,5564.67525730082,20593.5245372402,712.743840664862,34.2657348,-18.8469492
PPG2019-B-39,Waterbuck,1,Rift Valley Alluvial Fan,34.2781|-18.95771,253.394320592597,5875.540812164,20905.4455512291,781.881204425907,34.2781,-18.95771
PPG2019-B-45,Waterbuck,1,Rift Valley Alluvial Fan,34.33287|-18.855076,1247.26103452395,5049.73364190893,13482.9411639912,126.836981750242,34.33287,-18.855076
PPG2019-B-51,Waterbuck,1,Rift Valley Alluvial Fan,34.32757|-18.84529,1490.04085313238,5815.94546495349,14261.9198715001,538.189941590352,34.32757,-18.84529
PPG2019-B-52,Warthog,1,Rift Valley Alluvial Fan,34.32684|-18.85049,1071.39483159736,5247.91541518722,14210.2764575,424.278159647236,34.32684,-18.85049
PPG2019-B-53,Waterbuck,1,Rift Valley Alluvial Fan,34.32877|-18.83731,2101.11570000583,6687.5994282256,14313.2059700191,335.737262841118,34.32877,-18.83731
PPG2019-B-54,Warthog,1,Rift Valley Alluvial Fan,34.33215|-18.83208,2723.88219594898,6299.38839465552,14114.2253675298,425.059902535023,34.33215,-18.83208
PPG2019-B-57,Waterbuck,1,Rift Valley Alluvial Fan,34.32204|-18.81159,3558.65048568841,7264.72721220659,15850.5411944271,20.7421217820649,34.32204,-18.81159
PPG2019-B-58,Warthog,1,Rift Valley Alluvial Fan,34.32208|-18.82522,2495.82263480876,7243.01993747806,15348.1724336317,903.350344032365,34.32208,-18.82522
PPG2019-B-59,Oribi,1,Rift Valley Alluvial Fan,34.32173|-18.82624,2394.22941041738,7289.05870794474,15349.7310270171,893.424528996681,34.32173,-18.82624
PPG2019-B-60,Baboon,1,Rift Valley Alluvial Fan,34.32173|-18.82624,2394.22941041738,7289.05870794474,15349.7310270171,893.424528996681,34.32173,-18.82624
PPG2019-B-61,Waterbuck,1,Rift Valley Alluvial Fan,34.32173|-18.82624,2394.22941041738,7289.05870794474,15349.7310270171,893.424528996681,34.32173,-18.82624
PPG2019-B-80,Hippo,1,Rift Valley Alluvial Fan,34.49888|-18.608611,7006.60293971223,3836.83972253801,28189.918882066,393.512895416714,34.49888,-18.608611
PPG2022-B-108,Warthog,7,Rift Valley Alluvial Fan,34.262866|-18.9791815,104.476899947501,4949.82193934128,23408.101755751,736.355198130639,34.262866,-18.9791815
PPPG2017-B-35,Waterbuck,1,Rift Valley Alluvial Fan,34.364999|-18.86429,327.871920395607,2743.31907925643,9972.58495588672,204.809371065687,34.364999,-18.86429
PPG2019B-39,Buffalo,1,Rift Valley Alluvial Fan,34.2781|-18.95771,253.394320592597,5875.540812164,20905.4455512291,781.881204425907,34.2781,-18.95771
PPG2019B-57,Waterbuck,1,Rift Valley Alluvial Fan,34.32204|-18.81159,3558.65048568841,7264.72721220659,15850.5411944271,20.7421217820649,34.32204,-18.81159
PPG2022-B-164,Blue wildebeest,82,Rift Valley Alluvial Fan,34.25905|-19.01033,23.2370696864672,2834.67846158763,25569.6420975267,1252.30069876284,34.25905,-19.01033
